question,answer
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici né olio sintetici."
"Avete prodotti per la merenda con talpone di fiume?","No, i nostri prodotti non contengono talpone di fiume."
"Come posso fare una richiesta di collaborazione per un festival del teatro di figura?","Per festival del teatro di figura, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti e grassi idrogenati."
"Posso ordinare prodotti per un evento di parkour estremo?","Per eventi di parkour estremo, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici né sciroppo sintetici."
"Avete prodotti per la colazione con cereali e burro di noci e cioccolato e miele e frutta secca e semi e yogurt e cereali integrali e muesli e frutta fresca e verdura e spezie e erbe aromatiche e superfood e integratori e vitamine e minerali e antiossidanti e probiotici e prebiotici e enzimi e coenzimi e anti-nutrienti e fitonutrienti e fitoestrogeni e flavonoidi e carotenoidi e polifenoli e antociani e resveratrolo e quercetina e catechine?","Non utilizziamo burro di noci. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di molestie sessuali?","Utilizza il canale di whistleblowing o scrivi a compliance@moratogroup.com. Siamo contro le molestie sessuali."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti e antiossidanti."
"Posso ottenere un report sulla salute e sicurezza sul lavoro?","Il report di sostenibilità include informazioni sulla salute e sicurezza sul lavoro. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivos naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici né grassi sintetici."
"Avete prodotti per la merenda con talpone di deserto?","No, i nostri prodotti non contengono talpone di deserto."
"Come posso fare una richiesta di collaborazione per un festival del teatro di strada?","Per festival del teatro di strada, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti e dolcificanti."
"Posso ordinare prodotti per un evento di parkour indoor?","Per eventi di parkour indoor, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici né antiossidanti sintetici."
"Avete prodotti per la colazione con cereali e burro di noci e cioccolato e miele e frutta secca e semi e yogurt e cereali integrali e muesli e frutta fresca e verdura e spezie e erbe aromatiche e superfood e integratori e vitamine e minerali e antiossidanti e probiotici e prebiotici e enzimi e coenzimi e anti-nutrienti e fitonutrienti e fitoestrogeni e flavonoidi e carotenoidi e polifenoli e antociani e resveratrolo e quercetina e catechine e epigallocatechina gallato?","Non utilizziamo burro di noci. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di mobbing?","Utilizza il canale di whistleblowing o scrivi a compliance@moratogroup.com. Siamo contro il mobbing."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti e conservanti."
"Posso ottenere un report sulla formazione dei dipendenti?","Il report di sostenibilità include informazioni sulla formazione dei dipendenti. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici né dolcificanti sintetici."
